epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1974.67,1.86922,2.22375,0.02607,0.63749,0.57928,0.60753,0.27703,1.89391,1.66605,0.02722,0.000266291,0.000266291,0.06698
2,4051.62,1.7602,1.76205,0.02563,0.77067,0.72727,0.78505,0.36621,1.85382,1.07619,0.02378,0.000532596,0.000532596,0.0339129
3,6192.18,1.72726,1.53913,0.02442,0.70572,0.73573,0.73625,0.33661,1.87491,1.28197,0.0277,0.000797456,0.000797456,0.00084447
4,8328.59,1.74671,1.57328,0.02527,0.78517,0.7463,0.8001,0.38323,1.75727,1.00706,0.02403,0.000795125,0.000795125,0.000795125
5,10449.2,1.69229,1.51799,0.02444,0.76776,0.75053,0.78251,0.36919,1.81969,1.05577,0.02332,0.000791346,0.000791346,0.000791346
6,12570.3,1.65613,1.35109,0.02342,0.7987,0.77801,0.81226,0.39788,1.76139,0.97389,0.02599,0.000786507,0.000786507,0.000786507
7,14656.1,1.63145,1.37789,0.02386,0.83267,0.81007,0.84815,0.41828,1.77382,0.90954,0.02539,0.000780618,0.000780618,0.000780618
8,16754,1.61336,1.29276,0.02292,0.78653,0.77897,0.82401,0.37986,1.8519,0.98575,0.0267,0.000773698,0.000773698,0.000773698
9,18825,1.57557,1.26558,0.0224,0.85461,0.80338,0.85386,0.42213,1.70927,0.95743,0.02421,0.000765764,0.000765764,0.000765764
10,20932.4,1.57512,1.27712,0.02267,0.78093,0.79915,0.8233,0.43943,1.67311,0.91452,0.0211,0.000756839,0.000756839,0.000756839
11,23008.9,1.55143,1.16872,0.02253,0.82796,0.79364,0.83822,0.38694,1.8262,0.9429,0.02566,0.000746946,0.000746946,0.000746946
12,25141.2,1.55157,1.19509,0.02136,0.82397,0.79167,0.8373,0.43455,1.67427,0.88791,0.02167,0.000736114,0.000736114,0.000736114
13,27245.3,1.54371,1.20228,0.02193,0.81743,0.79704,0.86849,0.44981,1.66823,0.87259,0.0229,0.000724371,0.000724371,0.000724371
14,29347.6,1.49007,1.17642,0.02063,0.79185,0.84448,0.87026,0.46452,1.61553,0.82723,0.02188,0.00071175,0.00071175,0.00071175
15,31486.3,1.50188,1.15712,0.02106,0.85352,0.82452,0.89956,0.47904,1.59844,0.82916,0.02084,0.000698285,0.000698285,0.000698285
16,33799.4,1.48669,1.10358,0.0212,0.80497,0.79281,0.83933,0.45634,1.58161,0.83013,0.02125,0.000684014,0.000684014,0.000684014
17,36253.6,1.45741,1.0969,0.02049,0.87724,0.81184,0.89339,0.48796,1.61325,0.72529,0.02065,0.000668976,0.000668976,0.000668976
